row_id	museum_id	type	url	clean_url
3666	mm.ace.1199	facebook	https://www.facebook.com/pages/court-barn-museum/264985988490	https://www.facebook.com/pages/court-barn-museum/264985988490
3667	mm.wiki.046	facebook	https://www.facebook.com/trescoisland/	https://www.facebook.com/trescoisland
3668	mm.wiki.046	twitter	https://twitter.com/trescoisland/	https://twitter.com/trescoisland
3669	mm.mald.080	facebook	https://www.facebook.com/silvermountainexperience/	https://www.facebook.com/silvermountainexperience
3670	mm.mald.080	twitter	https://twitter.com/silvermountexp	https://twitter.com/silvermountexp
3673	mm.musa.353	facebook	https://www.facebook.com/cornwallgold/	https://www.facebook.com/cornwallgold
3674	mm.musa.353	twitter	https://twitter.com/cornwall_gold	https://twitter.com/cornwall_gold
3675	mm.domus.SW031	facebook	https://www.facebook.com/holburne	https://www.facebook.com/holburne
3676	mm.domus.SW031	twitter	https://twitter.com/holburne	https://twitter.com/holburne
3677	mm.domus.SE211	twitter	https://twitter.com/share	https://twitter.com/share
3678	mm.domus.SE211	facebook	no_resource	no_resource
3679	mm.fcm.078	facebook	https://www.facebook.com/officialrichardfelix/	https://www.facebook.com/officialrichardfelix
3680	mm.fcm.078	twitter	https://twitter.com/richardf_derby/	https://twitter.com/richardf_derby
3683	mm.misc.124	facebook	http://www.facebook.com/pages/st-albans-south-signal-box/434576123356154	http://www.facebook.com/pages/st-albans-south-signal-box/434576123356154
3684	mm.misc.124	twitter	no_resource	no_resource
3685	mm.wiki.274	facebook	https://www.facebook.com/merseyferries	https://www.facebook.com/merseyferries
3686	mm.wiki.274	twitter	https://twitter.com/merseyferries	https://twitter.com/merseyferries
