museum_id	twitter_id	facebook_pages	twitter_action	facebook_action	correct_twitter	correct_facebook	twitter_id_old	facebook_pages_old
mm.domus.SC255	twitter.com/museumsunista	en-gb.facebook.com/standrewsmuseum/?hc_location=ufi	keep	keep				
mm.domus.SC245	twitter.com/staprestrust	en-gb.facebook.com/StAPTMuseum	keep	keep				
mm.musa.319	no_resource	no_resource	keep	keep				
mm.musa.320	no_resource	no_resource	keep	keep				
mm.domus.SE461	twitter.com/stbarbemuseum	en-gb.facebook.com/StBarbeMuseum	keep	keep				
mm.ace.1211	no_resource	no_resource	keep	keep				
mm.musa.321	['twitter.com/stbrideschurch', 'twitter.com/stbrides_choir']	['www.facebook.com/stbrideschurch', 'www.facebook.com/stbrideschoir']	keep	keep				
mm.misc.157	twitter.com/stceciliashall	en-gb.facebook.com/stceciliashall	keep	keep				
mm.domus.WA087	twitter.com/stfagans_museum	no_resource	keep	keep				
mm.musa.322	twitter.com/thenorrismuseum	en-gb.facebook.com/stivestate	keep	keep				
mm.fcm.235	no_resource	no_resource	keep	keep				
mm.musa.323	twitter.com/museumofglos	no_resource	keep	keep				
mm.domus.WM017	no_resource	https://m.facebook.com/profile.php?id=209673002376087&__tn__=%2As-R	drop	update		https://m.facebook.com/profile.php?id=209673002376087&__tn__=%2As-R	['twitter.com/oisinthedeer']	['www.facebook.com/warwickshiremuseum', 'en-gb.facebook.com/warwickshiremuseum/posts']
mm.aim.0925	no_resource	no_resource	keep	keep				
mm.domus.SE188	['twitter.com/thebaytrust']	['facebook.com/thebaytrust']	keep	keep				
mm.domus.NW156	no_resource	no_resource	keep	keep				
mm.hha.027	twitter.com/st_marys_house	['www.facebook.com/pages/st-marys-house-and-gardens/392179487515953', 'en-gb.facebook.com/pages/category/Landmark---Historical-Place/St-Marys-House-and-Gardens-392179487515953']	keep	keep				
mm.musa.325	no_resource	no_resource	drop	drop			['twitter.com/ntcouncilteam']	['www.facebook.com/pages/north-tyneside-council/340293492817315']
mm.musa.326	no_resource	no_resource	keep	keep				
mm.domus.SW203	['www.twitter.com/ntmichaelsmount', 'twitter.com/ntmichaelsmount/status/1072132715942686720']	['www.facebook.com/stmichaelsmount', 'en-gb.facebook.com/stmichaelsmount?group_id=0&filter=1']	keep	keep				
mm.domus.SC133	twitter.com/stmungomuseum	['www.facebook.com/stmungo.glasgowmuseums', 'en-gb.facebook.com/StMungo.GlasgowMuseums/about']	keep	keep				
mm.domus.SE504	twitter.com/stneotsmuseum	['facebook.com/stneotsmuseum', 'en-gb.facebook.com/stneotsmuseum']	keep	keep				
mm.domus.SW091	['www.twitter.com/nixpriory', 'twitter.com/nixpriory']	['www.facebook.com/nixpriory']	keep	keep				
mm.wiki.170	['twitter.com/stpaulslondon']	['facebook.com/stpaulscathedral', 'en-gb.facebook.com/stpaulscathedral']	keep	keep				
mm.mgs.333	twitter.com/abdnspaceport	no_resource	keep	keep				
mm.domus.SC268	no_resource	no_resource	keep	keep				
mm.ace.1285	no_resource	no_resource	keep	keep				
