muse_id	musname	town	url	url_source	Unnamed: 5
mm.domus.WA022	Carmarthenshire County Museum	Carmarthen	https://www.discovercarmarthenshire.com/places/carmarthen-the-west/carmarthenshire-museum/	pred	
mm.misc.197	St Winefrides Well: Museum Of The Pilgrimage And Library	Holywell	https://www.stwinefrideswell.org.uk/museum--library.html	pred	
mm.domus.WA049	Milford Haven Heritage And Maritime Museum	Milford Haven	https://www.milfordwaterfront.co.uk/shops-restaurants-things-to-do/milford-haven-museum	pred	
mm.aim.0599	Menai Bridge Heritage Centre	Menai Bridge	https://menaibridges.co.uk/	pred	
mm.domus.WA027	Monmouth Castle And Regimental Museum	Monmouth	http://www.monmouthcastlemuseum.org.uk/	pred	
mm.domus.WA071	South Wales Police Museum	Bridgend	https://www.south-wales.police.uk/police-forces/south-wales-police/areas/about-us/about-us/south-wales-police-heritage-centre/	pred	
mm.domus.WA037	Usk Rural Life Museum	Usk	https://www.uskmuseum.org/	pred	
mm.mald.080	Llywernog Silver-lead Mine Museum	Aberystwyth	https://www.silvermountainexperience.co.uk/llywernog-mine/	pred	
mm.hha.185	Bodrhyddan Hall	Rhuddlan	https://www.bodrhyddan.co.uk/	pred	
mm.aim.0304	Corwen Museum	Corwen	http://www.corwenmuseum.org.uk/	manual	
mm.hha.188	Cornwall House	Monmouth	https://hbd.co.uk/scheme/cornwall-house/	pred	
mm.musa.149	Great Orme Tramway	Llandudno	http://www.greatormetramway.co.uk/	pred	
mm.mald.053	New Glynn Valley Tramway & Industrial Heritage Trust Museum	Glynceiriog	https://www.glynvalleytramway.org.uk/	pred	
mm.mald.157	Uwchgwyrfai Heritage Centre	Caernarfon	no_resource	manual	
mm.domus.WM058	Herbert Art Gallery And Museum	Coventry	https://www.theherbert.org/	pred	
mm.ace.333	Shrewsbury Museum And Art Gallery	Shrewsbury	https://www.shropshiremuseums.org.uk/smag/	pred	
mm.domus.WM033	Anne Hathaways Cottage	Stratford-upon-Avon	https://www.shakespeare.org.uk/visit/anne-hathaways-cottage/	pred	
mm.aim.1329	Winterbourne House And Garden	Birmingham	https://www.winterbourne.org.uk/	manual	
mm.domus.WM126	Blists Hill Victorian Town	Telford	https://www.ironbridge.org.uk/explore/blists-hill-victorian-town/	pred	
