museum_id	twitter_id	facebook_pages	new_twitter	new_fb	comment_fb
mm.domus.SC023	no_resource	en-gb.facebook.com/pages/category/History-Museum/The-Friends-of-Brechin-Town-House-Museum-192252734176820			
mm.domus.WA018	no_resource	['www.facebook.com/ygaerpowys', 'en-gb.facebook.com/BrecknockMuseum']			
mm.wiki.108	no_resource	['en-gb.facebook.com/bredesteamgiants', 'en-gb.facebook.com/BredeSteamGiants']			
mm.wiki.219	['twitter.com/maidstoneinfo']	['en-gb.facebook.com/visitmaidstone']			
mm.domus.SE023	twitter.com/brentmusarch	en-gb.facebook.com/brentmuseumandarchives			
mm.domus.SE199	['twitter.com/brentwood_bc']	https://www.facebook.com/BrentwoodMuseumUK/		https://www.facebook.com/BrentwoodMuseumUK/	missing link
mm.musa.058	no_resource	en-gb.facebook.com/brenzettmuseum			
mm.fcm.030	no_resource	['www.facebook.com/bressaydevelopment']			
mm.domus.SE563	twitter.com/bsteamsociety	en-gb.facebook.com/BressinghamSteam			
mm.domus.WM095	twitter.com/bridgnorthscout	no_resource			
mm.mgs.389	twitter.com/gvvtglasgow	['www.facebook.com/bridgetongarage', 'en-gb.facebook.com/BridgetonGarage/posts']			
mm.wiki.098	no_resource	no_resource			
mm.domus.SW151	twitter.com/bridportmuseum	['www.facebook.com/bridportmuseum', 'en-gb.facebook.com/BridportMuseum']			
mm.wiki.211	no_resource	no_resource			
mm.mgs.391	no_resource	no_resource			
mm.domus.SE201	['//www.twitter.com/brightlingseamu', 'www.twitter.com/brightlingseamu', 'twitter.com/brightlingseamu']	['//facebook.com/brightlingseamuseum', 'www.facebook.com/brightlingseamuseum', 'en-gb.facebook.com/brightlingseamuseum']			
mm.misc.192	no_resource	no_resource			
mm.domus.SE581	['twitter.com/btnseafront']	['www.facebook.com/btnseafront']			
mm.domus.SE211	twitter.com/brightonmuseums	en-gb.facebook.com/royalpavilionandbrightonmuseums			
mm.ace.1213	twitter.com/thetoymuseum	['www.facebook.com/brighton.toy.museum', 'en-gb.facebook.com/Brighton.Toy.Museum']			
mm.domus.WM002	no_resource	no_resource			
mm.domus.SW007	twitter.com/bristolmuseum	['www.facebook.com/bristolmuseumandartgallery', 'en-gb.facebook.com/BristolMuseumandArtGallery']			
mm.domus.SW143	twitter.com/uob_theatre_col	['www.facebook.com/pages/university-of-bristol-theatre-collection/189755747751875', 'www.facebook.com/bristoluniversity', 'en-gb.facebook.com/University-of-Bristol-Theatre-Collection-189755747751875']			
mm.wiki.077	twitter.com/dartmouthbrnc	en-gb.facebook.com/britanniaassociation			
mm.aim82NM.022	no_resource	['www.facebook.com/britishairways']			
mm.domus.NW188	twitter.com/bcvmleyland	['www.facebook.com/bcvmt']			
mm.domus.SE008	no_resource	no_resource			
mm.domus.SC042	['www.twitter.com/britgolfmuseum', 'twitter.com/britgolfmuseum']	['www.facebook.com/pages/the-british-golf-museum-st-andrews/103835093033770', 'en-gb.facebook.com/TheBritishGolfMuseum']			
mm.fcm.032	no_resource	no_resource			
