session_id,indicator_code_merged,n_museums,n_sess_museums,indic_museum_pc,session_time,fn,fp,factor_upper,n_museums_upper,factor_lower,n_museums_lower,indic_museum_pc_upper,indic_museum_pc_lower
20211108,reopen_intent,2276,3043,74.79461058166284,2021-11-08,0.119,0.078,1.119,2546.844,0.922,2098.472,83.6951692408807,68.96063095629313
20211206,reopen_intent,2248,3026,74.2894910773298,2021-12-06,0.119,0.078,1.119,2515.512,0.922,2072.656,83.12994051553207,68.49491077329807
20220103,reopen_intent,2282,3032,75.26385224274406,2022-01-03,0.119,0.078,1.119,2553.558,0.922,2104.004,84.22025065963061,69.39327176781003
20220131,reopen_intent,2270,3029,74.94222515681743,2022-01-31,0.119,0.078,1.119,2540.13,0.922,2092.94,83.8603499504787,69.09673159458566
20220228,reopen_intent,2268,3038,74.65437788018433,2022-02-28,0.119,0.078,1.119,2537.892,0.922,2091.096,83.53824884792627,68.83133640552995
20220328,reopen_intent,2264,3034,74.62096242584047,2022-03-28,0.119,0.078,1.119,2533.416,0.922,2087.408,83.5008569545155,68.80052735662491
20220425,reopen_intent,2253,3027,74.43012884043607,2022-04-25,0.119,0.078,1.119,2521.107,0.922,2077.266,83.28731417244796,68.62457879088207
20220524,reopen_intent,2242,3023,74.16473701620906,2022-05-24,0.119,0.078,1.119,2508.798,0.922,2067.1240000000003,82.99034072113794,68.37988752894476
20210304,staff_working,1355,3018,44.897282968853546,2021-03-04,0.109,0.217,1.109,1502.695,0.783,1060.9650000000001,49.79108681245858,35.15457256461233
20210404,staff_working,1358,3032,44.78891820580475,2021-04-04,0.109,0.217,1.109,1506.022,0.783,1063.314,49.670910290237465,35.069722955145124
20210503,staff_working,1360,3043,44.6927374301676,2021-05-03,0.109,0.217,1.109,1508.24,0.783,1064.88,49.564245810055866,34.994413407821234
20210614,staff_working,1358,3056,44.43717277486911,2021-06-14,0.109,0.217,1.109,1506.022,0.783,1063.314,49.28082460732984,34.794306282722516
20210629,staff_working,1363,3057,44.586195616617594,2021-06-29,0.109,0.217,1.109,1511.567,0.783,1067.229,49.44609093882892,34.91099116781158
20210712,staff_working,1358,3050,44.52459016393443,2021-07-12,0.109,0.217,1.109,1506.022,0.783,1063.314,49.377770491803275,34.86275409836066
20210809,staff_working,1358,3042,44.64168310322157,2021-08-09,0.109,0.217,1.109,1506.022,0.783,1063.314,49.50762656147271,34.954437869822485
20210914,staff_working,1343,3047,44.076140466032165,2021-09-14,0.109,0.217,1.109,1489.387,0.783,1051.569,48.88043977682967,34.51161798490318
20211108,staff_working,1336,3043,43.904042063752875,2021-11-08,0.109,0.217,1.109,1481.624,0.783,1046.088,48.68958264870194,34.3768649359185
20211206,staff_working,1316,3026,43.4897554527429,2021-12-06,0.109,0.217,1.109,1459.444,0.783,1030.428,48.23013879709187,34.05247851949769
20220103,staff_working,1315,3032,43.370712401055414,2022-01-03,0.109,0.217,1.109,1458.335,0.783,1029.645,48.09812005277045,33.95926781002638
20220131,staff_working,1318,3029,43.51271046550016,2022-01-31,0.109,0.217,1.109,1461.662,0.783,1031.9940000000001,48.255595906239684,34.070452294486635
20220228,staff_working,1321,3038,43.4825543120474,2022-02-28,0.109,0.217,1.109,1464.989,0.783,1034.343,48.22215273206057,34.046840026333115
20220328,staff_working,1309,3034,43.144363876071196,2022-03-28,0.109,0.217,1.109,1451.681,0.783,1024.9470000000001,47.84709953856295,33.78203691496375
20220425,staff_working,1304,3027,43.0789560621077,2022-04-25,0.109,0.217,1.109,1446.136,0.783,1021.032,47.77456227287743,33.730822596630325
20220524,staff_working,1303,3023,43.10287793582534,2022-05-24,0.109,0.217,1.109,1445.027,0.783,1020.249,47.8010916308303,33.749553423751244
